visit_date,category_label,visitor_local,visitor_foreigner,counts,sales
202102,0,790712.0,3056.0,209786.0,9014045994.0
202102,1,790712.0,3056.0,381557.0,23308785481.0
202102,2,790712.0,3056.0,384141.0,9955392953.0
202102,3,790712.0,3056.0,104262.0,2803488211.0
202102,4,790712.0,3056.0,13563.0,739739160.0
202102,5,790712.0,3056.0,730104.0,12858302678.0
202102,6,790712.0,3056.0,244435.0,9617699006.0
202102,7,790712.0,3056.0,49827.0,5376434517.0
202102,8,790712.0,3056.0,553018.0,35498346282.0
202102,9,790712.0,3056.0,817002.0,13620456833.0
202102,10,790712.0,3056.0,305719.0,8032164014.0
202102,11,790712.0,3056.0,1585124.0,20985764468.0
202102,12,790712.0,3056.0,574624.0,7823529385.0
202102,13,790712.0,3056.0,2256753.0,85255049918.0
202103,0,889216.0,4110.0,289166.0,12523695882.0
202103,1,889216.0,4110.0,462155.0,27810157949.0
202103,2,889216.0,4110.0,418761.0,11158116538.0
202103,3,889216.0,4110.0,130931.0,3551056167.0
202103,4,889216.0,4110.0,19313.0,646700490.0
202103,5,889216.0,4110.0,855043.0,14645010887.0
202103,6,889216.0,4110.0,295115.0,11339491721.0
202103,7,889216.0,4110.0,101518.0,16461372976.0
202103,8,889216.0,4110.0,658057.0,41198209284.0
202103,9,889216.0,4110.0,912304.0,14525294923.0
202103,10,889216.0,4110.0,356889.0,8969828555.0
202103,11,889216.0,4110.0,1906722.0,24515816060.0
202103,12,889216.0,4110.0,631110.0,8360920232.0
202103,13,889216.0,4110.0,2744539.0,102020207736.0
202104,0,1078759.0,4102.0,309830.0,12879746520.0
202104,1,1078759.0,4102.0,500830.0,31467849684.0
202104,2,1078759.0,4102.0,455795.0,12238165487.0
202104,3,1078759.0,4102.0,127325.0,3488058738.0
202104,4,1078759.0,4102.0,21636.0,703352052.0
202104,5,1078759.0,4102.0,976703.0,17413260456.0
202104,6,1078759.0,4102.0,340487.0,13368389366.0
202104,7,1078759.0,4102.0,134611.0,21216703194.0
202104,8,1078759.0,4102.0,787930.0,51064716220.0
202104,9,1078759.0,4102.0,978447.0,15948813732.0
202104,10,1078759.0,4102.0,372671.0,9294924348.0
202104,11,1078759.0,4102.0,2280813.0,30276121315.0
202104,12,1078759.0,4102.0,688342.0,8984761402.0
202104,13,1078759.0,4102.0,3092296.0,119340692778.0
202105,0,1132368.0,4084.0,351437.0,15095466618.0
202105,1,1132368.0,4084.0,569286.0,35756589565.0
202105,2,1132368.0,4084.0,490133.0,13296637932.0
202105,3,1132368.0,4084.0,115593.0,3411578040.0
202105,4,1132368.0,4084.0,24803.0,828264774.0
202105,5,1132368.0,4084.0,1136681.0,20000323032.0
202105,6,1132368.0,4084.0,377104.0,15663064513.0
202105,7,1132368.0,4084.0,114389.0,16587362294.0
202105,8,1132368.0,4084.0,876524.0,59308845698.0
202105,9,1132368.0,4084.0,1210061.0,19008505035.0
202105,10,1132368.0,4084.0,454442.0,11473312877.0
202105,11,1132368.0,4084.0,2522592.0,32496417912.0
202105,12,1132368.0,4084.0,783627.0,10867110030.0
202105,13,1132368.0,4084.0,3433102.0,135509924438.0
202106,0,1134254.0,4613.0,212919.0,8994473686.0
202106,1,1134254.0,4613.0,502445.0,31373214172.0
202106,2,1134254.0,4613.0,486673.0,13153715172.0
202106,3,1134254.0,4613.0,130812.0,3635947865.0
202106,4,1134254.0,4613.0,23713.0,787499827.0
202106,5,1134254.0,4613.0,1033594.0,18399643336.0
202106,6,1134254.0,4613.0,347038.0,13659871228.0
202106,7,1134254.0,4613.0,71822.0,8445867026.0
202106,8,1134254.0,4613.0,776058.0,52817195193.0
202106,9,1134254.0,4613.0,961048.0,15087232946.0
202106,10,1134254.0,4613.0,384983.0,9716102318.0
202106,11,1134254.0,4613.0,2435814.0,30876751456.0
202106,12,1134254.0,4613.0,763135.0,10354751007.0
202106,13,1134254.0,4613.0,2951236.0,115900328657.0
202107,0,1126885.0,4627.0,266974.0,11317656594.0
202107,1,1126885.0,4627.0,524263.0,32846354520.0
202107,2,1126885.0,4627.0,548867.0,15040825489.0
202107,3,1126885.0,4627.0,131159.0,3681876856.0
202107,4,1126885.0,4627.0,28752.0,974042457.0
202107,5,1126885.0,4627.0,1095220.0,19431984780.0
202107,6,1126885.0,4627.0,369409.0,14803270592.0
202107,7,1126885.0,4627.0,78254.0,10072513142.0
202107,8,1126885.0,4627.0,765940.0,51656952324.0
202107,9,1126885.0,4627.0,944317.0,14699300667.0
202107,10,1126885.0,4627.0,408237.0,10360370853.0
202107,11,1126885.0,4627.0,2610605.0,33398651140.0
202107,12,1126885.0,4627.0,830558.0,11333748784.0
202107,13,1126885.0,4627.0,3046306.0,120006077714.0
202108,0,969818.0,4376.0,211188.0,8772602756.0
202108,1,969818.0,4376.0,502695.0,31668949434.0
202108,2,969818.0,4376.0,507985.0,13737678533.0
202108,3,969818.0,4376.0,136654.0,3776621833.0
202108,4,969818.0,4376.0,26439.0,885777388.0
