visit_date_num,visitor_local,local_corona,gender_label,category_label,sales_per_counts
201909_16,1032478.0,0.0,1,7,92864.34100640129
201909_17,1032478.0,0.0,0,8,67388.24050311524
201909_18,1032478.0,0.0,1,8,64613.16471763099
201909_19,1032478.0,0.0,0,9,15728.515860589469
201909_20,1032478.0,0.0,1,9,15643.574295278646
201909_21,1032478.0,0.0,0,10,27026.899837103105
201909_22,1032478.0,0.0,1,10,26859.60194910293
201909_23,1032478.0,0.0,0,11,13357.377803788071
201909_24,1032478.0,0.0,1,11,13151.144417209336
201909_25,1032478.0,0.0,0,12,12380.003354001907
201909_26,1032478.0,0.0,1,12,12425.816133889659
201909_27,1032478.0,0.0,0,13,41338.47266168954
201909_28,1032478.0,0.0,1,13,37942.90495568013
201910_1,1254419.0,0.0,0,0,49506.561004130235
201910_2,1254419.0,0.0,1,0,38644.14387442039
201910_3,1254419.0,0.0,0,1,65070.79472539892
201910_4,1254419.0,0.0,1,1,61764.08389484872
201910_5,1254419.0,0.0,0,2,28607.216701119818
201910_6,1254419.0,0.0,1,2,26049.620178611298
201910_7,1254419.0,0.0,0,3,25940.242914118586
201910_8,1254419.0,0.0,1,3,26764.056689342404
201910_9,1254419.0,0.0,0,4,51826.86652360515
201910_10,1254419.0,0.0,1,4,49339.13244663906
201910_11,1254419.0,0.0,0,5,18974.9726054427
201910_12,1254419.0,0.0,1,5,17025.22880959033
201910_13,1254419.0,0.0,0,6,39712.70370940743
201910_14,1254419.0,0.0,1,6,32968.170912696405
201910_15,1254419.0,0.0,0,7,190269.9700201376
201910_16,1254419.0,0.0,1,7,98245.70830985147
201910_17,1254419.0,0.0,0,8,69301.70779405723
201910_18,1254419.0,0.0,1,8,64764.59081182672
201910_19,1254419.0,0.0,0,9,15165.334900169324
201910_20,1254419.0,0.0,1,9,14840.590480274443
201910_21,1254419.0,0.0,0,10,26507.08920047876
201910_22,1254419.0,0.0,1,10,28772.428822508693
201910_23,1254419.0,0.0,0,11,13282.16550788139
201910_24,1254419.0,0.0,1,11,13091.168255565666
201910_25,1254419.0,0.0,0,12,12309.449147696367
201910_26,1254419.0,0.0,1,12,12390.427107913503
201910_27,1254419.0,0.0,0,13,43065.47724755848
201910_28,1254419.0,0.0,1,13,39053.37806194626
201911_1,1177768.0,0.0,0,0,50673.26617488442
201911_2,1177768.0,0.0,1,0,38637.23440109032
201911_3,1177768.0,0.0,0,1,65510.111496680205
201911_4,1177768.0,0.0,1,1,60198.60804347598
201911_5,1177768.0,0.0,0,2,28590.095847907683
201911_6,1177768.0,0.0,1,2,25830.624193048236
201911_7,1177768.0,0.0,0,3,25447.911722947578
201911_8,1177768.0,0.0,1,3,26014.198651537576
201911_9,1177768.0,0.0,0,4,49653.01565473632
201911_10,1177768.0,0.0,1,4,45890.95529189236
201911_11,1177768.0,0.0,0,5,18467.598675649886
201911_12,1177768.0,0.0,1,5,17096.81663792515
201911_13,1177768.0,0.0,0,6,38947.82292569243
201911_14,1177768.0,0.0,1,6,33833.68441398578
201911_15,1177768.0,0.0,0,7,199891.1708882445
201911_16,1177768.0,0.0,1,7,100451.76277601323
201911_17,1177768.0,0.0,0,8,73145.24190531345
201911_18,1177768.0,0.0,1,8,63616.79644307112
201911_19,1177768.0,0.0,0,9,15756.896226472689
201911_20,1177768.0,0.0,1,9,15185.42241999223
201911_21,1177768.0,0.0,0,10,25901.541416685184
201911_22,1177768.0,0.0,1,10,26274.44754842127
201911_23,1177768.0,0.0,0,11,12992.926469505217
201911_24,1177768.0,0.0,1,11,13342.988381606405
201911_25,1177768.0,0.0,0,12,12194.128929804954
201911_26,1177768.0,0.0,1,12,12120.714147211915
201911_27,1177768.0,0.0,0,13,43626.693335041135
201911_28,1177768.0,0.0,1,13,38614.54589859105
201912_1,1143772.0,0.0,0,0,49081.8434675454
201912_2,1143772.0,0.0,1,0,40094.77473815587
201912_3,1143772.0,0.0,0,1,67256.47898308304
201912_4,1143772.0,0.0,1,1,62287.545981361945
201912_5,1143772.0,0.0,0,2,28015.938479906774
201912_6,1143772.0,0.0,1,2,26279.00676161959
201912_7,1143772.0,0.0,0,3,26669.25442418512
201912_8,1143772.0,0.0,1,3,27332.825527518627
