"visit_date","category","gender","counts","sales","sales_per_counts"
201904,유흥주점,남성,11436,2291402651,200367.4930919902
201904,유흥주점,여성,3171,334382700,105450.23651844844
201904,일식/수산물,남성,23143,1564818967,67615.2169986605
201904,일식/수산물,여성,16828,957620647,56906.38501307345
201904,제과/제빵/떡/케익,남성,52866,698248228,13207.888397079409
201904,제과/제빵/떡/케익,여성,72749,914907580,12576.222078654002
201904,중식,남성,27444,729852154,26594.233858038187
201904,중식,여성,14007,387114314,27637.2038266581
201904,커피/음료,남성,60159,570210736,9478.394521185524
201904,커피/음료,여성,72682,668618217,9199.227002559093
201904,한식,남성,431238,16989752462,39397.62372981973
201904,한식,여성,285520,10188178965,35682.89074320538
201905,간이주점,남성,6753,1252197611,185428.3445875907
201905,간이주점,여성,943,141629130,150189.95758218452
201905,양식,남성,82301,1834347250,22288.274140046902
201905,양식,여성,95301,1814171463,19036.22693361035
201905,유흥주점,남성,11460,2303181272,200975.67818499127
201905,유흥주점,여성,3119,308722820,98981.34658544406
201905,일식/수산물,남성,27859,1717341531,61644.047919882265
201905,일식/수산물,여성,19633,1009319024,51409.31207660572
201905,제과/제빵/떡/케익,남성,54395,702427916,12913.464766982259
201905,제과/제빵/떡/케익,여성,73610,925955102,12579.202581171037
201905,중식,남성,29835,799830574,26808.46569465393
201905,중식,여성,15436,430131750,27865.49300336875
201905,커피/음료,남성,64195,599809169,9343.54963782226
201905,커피/음료,여성,76227,693982759,9104.159405460008
201905,한식,남성,460047,18007223358,39142.138429334394
201905,한식,여성,302510,10707453957,35395.371911672344
201906,간이주점,남성,6564,1227989149,187079.39503351614
201906,간이주점,여성,976,142649300,146157.06967213115
201906,양식,남성,82454,1825925770,22144.780968782594
201906,양식,여성,97451,1874165098,19231.87138151481
201906,유흥주점,남성,11076,2208145725,199363.10265438785
201906,유흥주점,여성,3084,306680360,99442.39948119325
201906,일식/수산물,남성,27820,1698544433,61054.7962976276
201906,일식/수산물,여성,19830,1019788054,51426.5281896117
201906,제과/제빵/떡/케익,남성,52931,666269420,12587.508643328107
201906,제과/제빵/떡/케익,여성,71760,884925305,12331.735019509477
201906,중식,남성,29715,774837595,26075.63839811543
201906,중식,여성,15809,420025248,26568.742361945726
201906,커피/음료,남성,63535,597627782,9406.276571968207
201906,커피/음료,여성,76081,695538067,9142.073145726265
201906,한식,남성,452412,17618352474,38943.15905413649
201906,한식,여성,300866,10519523625,34964.14890682231
201907,간이주점,남성,6313,1174217030,185999.84634880404
201907,간이주점,여성,905,142227700,157157.67955801106
201907,양식,남성,90858,1973338334,21718.92771137379
201907,양식,여성,106812,2041262569,19110.798121933865
201907,유흥주점,남성,11755,2253201054,191680.2257762654
201907,유흥주점,여성,3064,305963680,99857.59791122716
201907,일식/수산물,남성,27603,1597720993,57882.15023729305
201907,일식/수산물,여성,19611,942967900,48083.62143694865
201907,제과/제빵/떡/케익,남성,52588,651082084,12380.810907431352
201907,제과/제빵/떡/케익,여성,71774,858244798,11957.600217348901
201907,중식,남성,31969,848735222,26548.69473552504
201907,중식,여성,16992,458696560,26994.85404896422
201907,커피/음료,남성,67825,648028014,9554.412296350903
201907,커피/음료,여성,78857,742428819,9414.875267889978
201907,한식,남성,472150,17971329609,38062.754652123265
201907,한식,여성,317591,10838878116,34128.417102499756
201908,간이주점,남성,6450,1205649547,186922.4103875969
201908,간이주점,여성,909,129774400,142766.11661166116
201908,양식,남성,104629,2270221238,21697.820279272477
201908,양식,여성,120806,2361676983,19549.33515719418
201908,유흥주점,남성,12084,2225804994,184194.38877855014
201908,유흥주점,여성,3190,319806150,100252.71159874609
201908,일식/수산물,남성,30381,1843000590,60662.93374148316
201908,일식/수산물,여성,21395,1088134720,50859.29983641038
201908,제과/제빵/떡/케익,남성,57665,730682289,12671.15735714905
