"연월","중분류업종명","소분류업종명","성별","이용자수","이용건수","이용금액"
"201901","일식/수산물","일식","여성","57549","58495","3102219463"
"201901","일식/수산물","조개구이전문","남성","2641","2690","180381373"
"201901","일식/수산물","조개구이전문","여성","1346","1346","94309498"
"201901","일식/수산물","참치전문점","남성","3626","3726","351421319"
"201901","일식/수산물","참치전문점","여성","1747","1926","131032034"
"201901","일식/수산물","초밥전문","남성","19118","19416","1212484341"
"201901","일식/수산물","초밥전문","여성","17022","17284","860343922"
"201901","일식/수산물","해물찜/탕전문","남성","5531","5587","370103136"
"201901","일식/수산물","해물찜/탕전문","여성","4860","4974","292678446"
"201901","일식/수산물","홍어전문","남성","831","851","60824168"
"201901","일식/수산물","홍어전문","여성","379","379","18756868"
"201901","일식/수산물","횟집","남성","122654","127362","10203400473"
"201901","일식/수산물","횟집","여성","97310","101462","8038498199"
"201901","제과/제빵/떡/케익","떡/한과","남성","19537","20244","643572663"
"201901","제과/제빵/떡/케익","떡/한과","여성","28332","29550","866323952"
"201901","제과/제빵/떡/케익","와플/파이/디저트","남성","4959","5236","89607589"
"201901","제과/제빵/떡/케익","와플/파이/디저트","여성","5259","5875","85439813"
"201901","제과/제빵/떡/케익","제과점","남성","244665","253265","3506031416"
"201901","제과/제빵/떡/케익","제과점","여성","357777","371833","4978545756"
"201901","제과/제빵/떡/케익","찐빵/만두","남성","18095","18331","282024682"
"201901","제과/제빵/떡/케익","찐빵/만두","여성","20701","21068","320012691"
"201901","제과/제빵/떡/케익","케익전문점","남성","1701","1782","41913780"
"201901","제과/제빵/떡/케익","케익전문점","여성","3296","3400","64378130"
"201901","제과/제빵/떡/케익","호두과자","남성","138","138","2163375"
"201901","제과/제빵/떡/케익","호두과자","여성","483","506","20287651"
"201901","제과/제빵/떡/케익","호떡/붕어빵","남성","2512","2573","20850197"
"201901","제과/제빵/떡/케익","호떡/붕어빵","여성","3261","3365","27340885"
"201901","중식","중국음식","남성","183970","185310","5210577237"
"201901","중식","중국음식","여성","114522","115692","3455772541"
"201901","커피/음료","생과일주스전문점","남성","8816","9430","74644517"
"201901","커피/음료","생과일주스전문점","여성","11149","11575","94141227"
"201901","커피/음료","아이스크림/빙수","남성","32282","33808","462985376"
"201901","커피/음료","아이스크림/빙수","여성","38006","39882","482172486"
"201901","커피/음료","전통찻집/인삼찻집","남성","18616","21858","588467843"
"201901","커피/음료","전통찻집/인삼찻집","여성","25238","30118","857382583"
"201901","커피/음료","커피전문점","남성","481286","514988","6760602730"
"201901","커피/음료","커피전문점","여성","633801","682695","9016209077"
"201901","패스트푸드","도너츠전문","남성","16274","17315","161627798"
"201901","패스트푸드","도너츠전문","여성","22339","24034","205683519"
"201901","패스트푸드","도시락전문점","남성","9271","9494","156752521"
"201901","패스트푸드","도시락전문점","여성","6998","7200","108071273"
"201901","패스트푸드","샌드위치/브런치/샐러드","남성","9524","9992","132171380"
"201901","패스트푸드","샌드위치/브런치/샐러드","여성","14867","15485","257625192"
"201901","패스트푸드","토스트전문","남성","5444","5566","53881221"
"201901","패스트푸드","토스트전문","여성","7774","8019","77232910"
"201901","패스트푸드","패스트푸드","남성","229399","239810","2697896331"
"201901","패스트푸드","패스트푸드","여성","216130","228720","2531879228"
"201901","패스트푸드","피자전문","남성","36113","36820","1050084244"
"201901","패스트푸드","피자전문","여성","35543","36143","1021744979"
"201901","패스트푸드","핫도그","남성","11638","12176","94541039"
"201901","패스트푸드","핫도그","여성","17185","18063","142633528"
"201901","한식","기사식당","남성","2321","2343","69164298"
"201901","한식","기사식당","여성","772","795","16106452"
"201901","한식","냉면집","남성","12055","12076","317912487"
"201901","한식","냉면집","여성","9592","9633","252192161"
"201901","한식","돌솥/비빔밥전문점","남성","9086","9255","258792120"
"201901","한식","돌솥/비빔밥전문점","여성","8178","8305","221339130"
"201901","한식","두부요리전문","남성","4614","4748","86791999"
"201901","한식","두부요리전문","여성","4372","4441","74156867"
"201901","한식","버섯전문점","남성","587","587","32240711"
"201901","한식","버섯전문점","여성","365","365","21172807"
"201901","한식","보리밥전문","남성","1590","1613","37572746"
"201901","한식","보리밥전문","여성","1526","1526","42030340"
"201901","한식","부대찌개/섞어찌개","남성","13905","13924","410227134"
"201901","한식","부대찌개/섞어찌개","여성","8478","8555","217979183"
"201901","한식","설렁탕집","남성","21565","21719","555745079"
"201901","한식","설렁탕집","여성","12048","12158","286966610"
"201901","한식","순두부전문","남성","23077","23121","490494142"
"201901","한식","순두부전문","여성","14630","14652","313313064"
"201901","한식","쌈밥전문","남성","300","300","7038890"
"201901","한식","쌈밥전문","여성","240","240","6073555"
"201901","한식","일반한식/백반","남성","1050893","1075804","50294751437"
"201901","한식","일반한식/백반","여성","787908","814569","33807405577"
"201901","한식","재첩국전문","남성","163","163","2889334"
"201901","한식","재첩국전문","여성","239","239","6143481"
"201901","한식","추어탕전문","남성","6149","6149","152720074"
"201901","한식","추어탕전문","여성","4137","4160","111222251"
"201901","한식","콩나물국밥","남성","12242","12293","199093880"
"201901","한식","콩나물국밥","여성","7323","7374","117368379"
"201901","한식","파전전문","남성","1523","1523","65948415"
"201901","한식","파전전문","여성","1024","1024","37345178"
"201901","한식","한정식전문","남성","1826","1826","103808661"
"201901","한식","한정식전문","여성","1590","1606","80267714"
"201901","한식","해장국/감자탕","남성","199876","200814","5038537640"
"201901","한식","해장국/감자탕","여성","105487","106405","2723276995"
"201901","한식","황태전문","남성","1664","1709","38944695"
"201901","한식","황태전문","여성","755","755","19674489"
"201902","간이주점","꼬치구이전문점","남성","28017","28389","1286340189"
"201902","간이주점","꼬치구이전문점","여성","13739","14148","552679329"
"201902","간이주점","민속주점","남성","3768","3840","173468855"
"201902","간이주점","민속주점","여성","1920","1920","77548865"
"201902","간이주점","소주방/포장마차","남성","23915","24486","1092780194"
"201902","간이주점","소주방/포장마차","여성","13054","13396","527094740"
"201902","간이주점","이자까야","남성","5299","5402","305162526"
"201902","간이주점","이자까야","여성","3842","3945","204682760"
"201902","간이주점","호프/맥주","남성","89976","92895","5348602225"
"201902","간이주점","호프/맥주","여성","51862","53762","2075686596"
"201902","고기요리","갈매기살","남성","2734","2819","195192089"
"201902","고기요리","갈매기살","여성","1517","1551","125423671"
"201902","고기요리","갈비/삼겹살","남성","186811","189132","13937833725"
"201902","고기요리","갈비/삼겹살","여성","120053","122150","8430100795"
"201902","고기요리","곱창/양구이전문","남성","8768","8935","563155762"
"201902","고기요리","곱창/양구이전문","여성","6781","6876","468066932"
"201902","고기요리","기타고기요리","남성","6479","6567","396474341"
"201902","고기요리","기타고기요리","여성","2988","3018","185534434"
"201902","고기요리","막창구이","남성","13342","13560","775606189"
"201902","고기요리","막창구이","여성","9575","9665","542245562"
"201902","고기요리","불고기전문","남성","1641","1641","53141236"
"201902","고기요리","불고기전문","여성","793","793","29195487"
"201902","고기요리","사철탕전문","남성","2058","2100","75681987"
"201902","고기요리","사철탕전문","여성","861","861","40639756"
"201902","고기요리","족발/보쌈전문","남성","23644","23866","1056870312"
"201902","고기요리","족발/보쌈전문","여성","15962","16083","677436274"
"201902","닭/오리요리","닭갈비전문","남성","7161","7217","329999048"
"201902","닭/오리요리","닭갈비전문","여성","5107","5126","199687481"
"201902","닭/오리요리","닭내장/닭발요리","남성","16151","16277","541752398"
"201902","닭/오리요리","닭내장/닭발요리","여성","15262","15327","504437165"
"201902","닭/오리요리","닭도리탕전문","남성","261","261","9075940"
"201902","닭/오리요리","닭도리탕전문","여성","203","203","4076970"
"201902","닭/오리요리","불닭전문","남성","2163","2183","80056543"
"201902","닭/오리요리","불닭전문","여성","2327","2346","87609423"
"201902","닭/오리요리","삼계탕전문","남성","9778","9778","366542847"
"201902","닭/오리요리","삼계탕전문","여성","5672","5740","198914326"
"201902","닭/오리요리","오리고기전문","남성","5313","5334","358402574"
"201902","닭/오리요리","오리고기전문","여성","3444","3507","247758051"
"201902","닭/오리요리","옻닭전문","남성","132","132","8316000"
"201902","닭/오리요리","옻닭전문","여성","44","44","2706000"
"201902","닭/오리요리","찜닭전문점","남성","1689","1715","55131757"
"201902","닭/오리요리","찜닭전문점","여성","829","829","26936348"
"201902","닭/오리요리","토종닭전문","남성","507","507","43184166"
"201902","닭/오리요리","토종닭전문","여성","252","252","19913057"
"201902","닭/오리요리","후라이드/양념치킨","남성","193104","195217","4967352447"
"201902","닭/오리요리","후라이드/양념치킨","여성","151638","153712","3668369082"
"201902","별식/퓨전요리","돌구이요리전문","남성","549","549","41531837"
"201902","별식/퓨전요리","돌구이요리전문","여성","485","485","28019002"
"201902","별식/퓨전요리","동남아음식전문점","남성","5931","5995","175654926"
"201902","별식/퓨전요리","동남아음식전문점","여성","7555","7577","210516431"
"201902","별식/퓨전요리","샤브샤브전문","남성","7195","7352","514687334"
"201902","별식/퓨전요리","샤브샤브전문","여성","7516","7635","456732177"
"201902","별식/퓨전요리","순대전문점","남성","30253","30364","638980485"
"201902","별식/퓨전요리","순대전문점","여성","17071","17115","348759510"
"201902","별식/퓨전요리","죽전문점","남성","8601","8750","135831718"
