기준일(월),항공노선,도착출발구분,항공사,운항수(편),이용자수(명),화물량(톤)
200502,김포-김해,계,KAL 대한항공,1138,182960,2531.915
200502,김포-김해,도착,AAR 아시아나항공,337,29627,478.342
200502,김포-김해,도착,KAL 대한항공,576,92336,1956.736
200502,김포-김해,출발,AAR 아시아나항공,316,28638,154.628
200502,김포-김해,출발,KAL 대한항공,562,90624,575.179
200502,김포-대구,계,AAR 아시아나항공,110,7840,65.754
200502,김포-대구,계,KAL 대한항공,123,11478,90.491
200502,김포-대구,도착,AAR 아시아나항공,59,4098,32.994
200502,김포-대구,도착,KAL 대한항공,62,6223,16.507
200502,김포-대구,출발,AAR 아시아나항공,51,3742,32.76
200502,김포-대구,출발,KAL 대한항공,61,5255,73.984
200502,김포-목포,계,AAR 아시아나항공,44,2346,10.013
200502,김포-목포,도착,AAR 아시아나항공,22,1253,5.966
200502,김포-목포,출발,AAR 아시아나항공,22,1093,4.047
200502,김포-사천,계,AAR 아시아나항공,108,8176,36
200502,김포-사천,계,KAL 대한항공,172,17007,37.269
200502,김포-사천,도착,AAR 아시아나항공,54,3972,20.066
200502,김포-사천,도착,KAL 대한항공,86,8818,9.135
200502,김포-사천,출발,AAR 아시아나항공,54,4204,15.934
200502,김포-사천,출발,KAL 대한항공,86,8189,28.134
200502,김포-여수,계,AAR 아시아나항공,276,20454,73.726
200502,김포-여수,계,KAL 대한항공,212,20037,80.532
200502,김포-여수,도착,AAR 아시아나항공,138,10999,46.264
200502,김포-여수,도착,KAL 대한항공,106,9823,51.185
200502,김포-여수,출발,AAR 아시아나항공,138,9455,27.462
200502,김포-여수,출발,KAL 대한항공,106,10214,29.347
200502,김포-울산,계,AAR 아시아나항공,410,37779,124.978
200502,김포-울산,계,KAL 대한항공,488,52481,127.533
200502,김포-울산,도착,AAR 아시아나항공,205,19566,50.687
200502,김포-울산,도착,KAL 대한항공,244,26853,20.822
200502,김포-울산,출발,AAR 아시아나항공,205,18213,74.291
200502,김포-울산,출발,KAL 대한항공,244,25628,106.711
200502,김포-제주,계,AAR 아시아나항공,1230,154726,3308.389
200502,김포-제주,계,KAL 대한항공,1366,280948,11951.826
200502,김포-제주,도착,AAR 아시아나항공,600,75861,2104.03
200502,김포-제주,도착,KAL 대한항공,676,139834,7148.288
200502,김포-제주,출발,AAR 아시아나항공,630,78865,1204.359
200502,김포-제주,출발,KAL 대한항공,690,141114,4803.538
200502,김포-포항,계,AAR 아시아나항공,216,18222,59.99
200502,김포-포항,계,KAL 대한항공,251,22583,88.778
200502,김포-포항,도착,AAR 아시아나항공,108,9421,33.346
200502,김포-포항,도착,KAL 대한항공,126,11594,55.825
200502,김포-포항,출발,AAR 아시아나항공,108,8801,26.644
200502,김포-포항,출발,KAL 대한항공,125,10989,32.953
200502,김해-양양,계,KAL 대한항공,50,4964,14.937
200502,김해-양양,도착,KAL 대한항공,25,2649,7.252
200502,김해-양양,출발,KAL 대한항공,25,2315,7.685
200502,김해-울산,계,KAL 대한항공,,,
200502,김해-울산,도착,KAL 대한항공,,,
200502,김해-울산,출발,KAL 대한항공,,,
200502,김해-제주,계,AAR 아시아나항공,335,33020,627.716
200502,김해-제주,계,KAL 대한항공,525,75262,3142.769
200502,김해-제주,도착,AAR 아시아나항공,177,16370,363.42
200502,김해-제주,도착,KAL 대한항공,268,37931,1689.104
200502,김해-제주,출발,AAR 아시아나항공,158,16650,264.296
200502,김해-제주,출발,KAL 대한항공,257,37331,1453.665
200502,인천-김해,계,AAR 아시아나항공,61,6494,97.925
200502,인천-김해,계,KAL 대한항공,112,14846,272.868
200502,인천-김해,도착,AAR 아시아나항공,30,3193,42.184
200502,인천-김해,도착,KAL 대한항공,56,7105,110.708
200502,인천-김해,출발,AAR 아시아나항공,31,3301,55.741
200502,인천-김해,출발,KAL 대한항공,56,7741,162.16
200502,인천-대구,계,KAL 대한항공,56,6661,107.549
200502,인천-대구,도착,KAL 대한항공,28,3152,49.364
200502,인천-대구,출발,KAL 대한항공,28,3509,58.185
200502,인천-여수,계,KAL 대한항공,,,
200502,인천-여수,도착,KAL 대한항공,,,
200502,인천-여수,출발,KAL 대한항공,,,
200502,인천-울산,계,KAL 대한항공,,,
200502,인천-울산,도착,KAL 대한항공,,,
200502,인천-울산,출발,KAL 대한항공,,,
200502,인천-제주,계,AAR 아시아나항공,14,1216,10.057
200502,인천-제주,계,KAL 대한항공,16,1812,11.476
200502,인천-제주,도착,AAR 아시아나항공,7,872,6.07
200502,인천-제주,도착,KAL 대한항공,9,1623,10.618
200502,인천-제주,출발,AAR 아시아나항공,7,344,3.987
200502,인천-제주,출발,KAL 대한항공,7,189,0.858
200502,제주-광주,계,AAR 아시아나항공,198,24323,595.466
200502,제주-광주,계,KAL 대한항공,212,27856,640.445
200502,제주-광주,도착,AAR 아시아나항공,99,12344,357.381
200502,제주-광주,도착,KAL 대한항공,106,13454,314.574
200502,제주-광주,출발,AAR 아시아나항공,99,11979,238.085
200502,제주-광주,출발,KAL 대한항공,106,14402,325.871
200502,제주-군산,계,KAL 대한항공,102,12670,149.08
200502,제주-군산,도착,KAL 대한항공,51,6499,72.767
200502,제주-군산,출발,KAL 대한항공,51,6171,76.313
200502,제주-대구,계,AAR 아시아나항공,222,21195,407.226
200502,제주-대구,계,KAL 대한항공,232,24572,584.739
200502,제주-대구,도착,AAR 아시아나항공,106,10721,203.956
200502,제주-대구,도착,KAL 대한항공,115,12015,256.059
200502,제주-대구,출발,AAR 아시아나항공,116,10474,203.27
200502,제주-대구,출발,KAL 대한항공,117,12557,328.68
200502,제주-사천,계,KAL 대한항공,56,6847,85.668
200502,제주-사천,도착,KAL 대한항공,28,3468,47.446
200502,제주-사천,출발,KAL 대한항공,28,3379,38.222
200502,제주-여수,계,KAL 대한항공,52,5139,60.946
200502,제주-여수,도착,KAL 대한항공,26,2914,34.705
200502,제주-여수,출발,KAL 대한항공,26,2225,26.241
200502,제주-울산,계,KAL 대한항공,54,6222,54.137
200502,제주-울산,도착,KAL 대한항공,27,3007,18.219
200502,제주-울산,출발,KAL 대한항공,27,3215,35.918
200502,제주-원주,계,KAL 대한항공,52,6764,46.032
200502,제주-원주,도착,KAL 대한항공,26,3431,17.276
200502,제주-원주,출발,KAL 대한항공,26,3333,28.756
200502,제주-청주,계,AAR 아시아나항공,207,21788,326.368
200502,제주-청주,계,HAN 한성항공,,,
200502,제주-청주,계,KAL 대한항공,214,29829,601.659
200502,제주-청주,도착,AAR 아시아나항공,103,10865,127.617
200502,제주-청주,도착,HAN 한성항공,,,
200502,제주-청주,도착,KAL 대한항공,107,15012,262.172
200502,제주-청주,출발,AAR 아시아나항공,104,10923,198.751
200502,제주-청주,출발,HAN 한성항공,,,
200502,제주-청주,출발,KAL 대한항공,107,14817,339.487
200502,제주-포항,계,AAR 아시아나항공,14,1624,19.964
200502,제주-포항,도착,AAR 아시아나항공,7,852,8.706
200502,제주-포항,출발,AAR 아시아나항공,7,772,11.258
200502,합계,계,계,10151,1292179,27549.025
200502,합계,도착,계,5083,649555,16275.656
200502,합계,출발,계,5068,642624,11273.369
200503,김포-광주,계,AAR 아시아나항공,306,33822,348.79
200503,김포-광주,계,KAL 대한항공,298,31353,161.203
200503,김포-광주,도착,AAR 아시아나항공,153,17184,195.047
200503,김포-광주,도착,KAL 대한항공,149,15180,68.438
200503,김포-광주,출발,AAR 아시아나항공,153,16638,153.743
200503,김포-광주,출발,KAL 대한항공,149,16173,92.765
200503,김포-김해,계,AAR 아시아나항공,714,57845,752.094
200503,김포-김해,계,KAL 대한항공,1196,191838,3058.63
200503,김포-김해,도착,AAR 아시아나항공,366,29796,596.655
200503,김포-김해,도착,KAL 대한항공,597,94977,2378.764
200503,김포-김해,출발,AAR 아시아나항공,348,28049,155.439
200503,김포-김해,출발,KAL 대한항공,599,96861,679.866
200503,김포-대구,계,AAR 아시아나항공,102,5742,53.698
200503,김포-대구,계,KAL 대한항공,120,8767,85.934
200503,김포-대구,도착,AAR 아시아나항공,56,3038,22.923
200503,김포-대구,도착,KAL 대한항공,61,4890,0
200503,김포-대구,출발,AAR 아시아나항공,46,2704,30.775
200503,김포-대구,출발,KAL 대한항공,59,3877,85.934
200503,김포-목포,계,AAR 아시아나항공,46,1517,4.387
200503,김포-목포,도착,AAR 아시아나항공,23,799,2.255
200503,김포-목포,출발,AAR 아시아나항공,23,718,2.132
200503,김포-사천,계,AAR 아시아나항공,120,8670,33.334
200503,김포-사천,계,KAL 대한항공,164,14190,23.549
200503,김포-사천,도착,AAR 아시아나항공,60,4094,20.275
200503,김포-사천,도착,KAL 대한항공,82,7204,0
200503,김포-사천,출발,AAR 아시아나항공,60,4576,13.059
200503,김포-사천,출발,KAL 대한항공,82,6986,23.549
200503,김포-여수,계,AAR 아시아나항공,296,21462,57.134
200503,김포-여수,계,KAL 대한항공,236,23079,68.128
200503,김포-여수,도착,AAR 아시아나항공,148,11539,36.466
200503,김포-여수,도착,KAL 대한항공,118,11294,41.835
200503,김포-여수,출발,AAR 아시아나항공,148,9923,20.668
200503,김포-여수,출발,KAL 대한항공,118,11785,26.293
200503,김포-울산,계,AAR 아시아나항공,426,39478,109.741
200503,김포-울산,계,KAL 대한항공,538,57973,107.657
200503,김포-울산,도착,AAR 아시아나항공,213,20048,36.18
200503,김포-울산,도착,KAL 대한항공,269,29213,0
200503,김포-울산,출발,AAR 아시아나항공,213,19430,73.561
200503,김포-울산,출발,KAL 대한항공,269,28760,107.657
200503,김포-제주,계,AAR 아시아나항공,1356,153183,4050.036
200503,김포-제주,계,KAL 대한항공,1475,267994,17571.674
200503,김포-제주,도착,AAR 아시아나항공,663,74991,2709.219
200503,김포-제주,도착,KAL 대한항공,736,134628,11977.561
200503,김포-제주,출발,AAR 아시아나항공,693,78192,1340.817
200503,김포-제주,출발,KAL 대한항공,739,133366,5594.113
200503,김포-포항,계,AAR 아시아나항공,220,17226,49.536
200503,김포-포항,계,KAL 대한항공,258,21549,78.576
200503,김포-포항,도착,AAR 아시아나항공,110,8672,29.484
200503,김포-포항,도착,KAL 대한항공,129,11287,49.851
200503,김포-포항,출발,AAR 아시아나항공,110,8554,20.052
200503,김포-포항,출발,KAL 대한항공,129,10262,28.725
200503,김해-양양,계,KAL 대한항공,48,3193,9.726
200503,김해-양양,도착,KAL 대한항공,24,1595,4.731
200503,김해-양양,출발,KAL 대한항공,24,1598,4.995
200503,김해-울산,계,KAL 대한항공,,,
200503,김해-울산,도착,KAL 대한항공,,,
200503,김해-울산,출발,KAL 대한항공,,,
200503,김해-제주,계,AAR 아시아나항공,386,37490,715.612
200503,김해-제주,계,KAL 대한항공,575,89653,4625.767
200503,김해-제주,도착,AAR 아시아나항공,202,18219,477.123
200503,김해-제주,도착,KAL 대한항공,288,44763,2720.153
200503,김해-제주,출발,AAR 아시아나항공,184,19271,238.489
200503,김해-제주,출발,KAL 대한항공,287,44890,1905.614
200503,인천-김해,계,AAR 아시아나항공,62,4594,79.736
200503,인천-김해,계,KAL 대한항공,121,14153,237.13
200503,인천-김해,도착,AAR 아시아나항공,31,1976,30.493
200503,인천-김해,도착,KAL 대한항공,61,7166,106.521
200503,인천-김해,출발,AAR 아시아나항공,31,2618,49.243
200503,인천-김해,출발,KAL 대한항공,60,6987,130.609
200503,인천-대구,계,KAL 대한항공,61,6808,114.681
200503,인천-대구,도착,KAL 대한항공,30,3199,54.86
200503,인천-대구,출발,KAL 대한항공,31,3609,59.821
200503,인천-여수,계,KAL 대한항공,,,
200503,인천-여수,도착,KAL 대한항공,,,
200503,인천-여수,출발,KAL 대한항공,,,
200503,인천-울산,계,KAL 대한항공,,,
200503,인천-울산,도착,KAL 대한항공,,,
200503,인천-울산,출발,KAL 대한항공,,,
200503,인천-제주,계,AAR 아시아나항공,10,867,4.292
200503,인천-제주,계,KAL 대한항공,9,695,5.793
200503,인천-제주,도착,AAR 아시아나항공,5,671,3.351
200503,인천-제주,도착,KAL 대한항공,5,647,5.411
200503,인천-제주,출발,AAR 아시아나항공,5,196,0.941
200503,인천-제주,출발,KAL 대한항공,4,48,0.382
200503,제주-광주,계,AAR 아시아나항공,226,28977,803.287
200503,제주-광주,계,KAL 대한항공,240,30522,819.795
200503,제주-광주,도착,AAR 아시아나항공,113,14592,475.621
200503,제주-광주,도착,KAL 대한항공,120,14827,406.149
200503,제주-광주,출발,AAR 아시아나항공,113,14385,327.666
200503,제주-광주,출발,KAL 대한항공,120,15695,413.646
200503,제주-군산,계,KAL 대한항공,120,12107,173.504
200503,제주-군산,도착,KAL 대한항공,60,5903,78.888
200503,제주-군산,출발,KAL 대한항공,60,6204,94.616
200503,제주-대구,계,AAR 아시아나항공,242,23820,545.245
200503,제주-대구,계,KAL 대한항공,255,27013,665.555
200503,제주-대구,도착,AAR 아시아나항공,116,12102,226.077
200503,제주-대구,도착,KAL 대한항공,127,12882,271.079
200503,제주-대구,출발,AAR 아시아나항공,126,11718,319.168
200503,제주-대구,출발,KAL 대한항공,128,14131,394.476
200503,제주-사천,계,KAL 대한항공,60,5340,74.656
200503,제주-사천,도착,KAL 대한항공,30,2639,43.741
200503,제주-사천,출발,KAL 대한항공,30,2701,30.915
200503,제주-여수,계,KAL 대한항공,57,4421,67.241
200503,제주-여수,도착,KAL 대한항공,28,2629,38.545
200503,제주-여수,출발,KAL 대한항공,29,1792,28.696
200503,제주-울산,계,KAL 대한항공,58,4401,38.41
200503,제주-울산,도착,KAL 대한항공,29,1971,9.996
200503,제주-울산,출발,KAL 대한항공,29,2430,28.414
200503,제주-원주,계,KAL 대한항공,60,4962,31.904
200503,제주-원주,도착,KAL 대한항공,30,2518,12.806
200503,제주-원주,출발,KAL 대한항공,30,2444,19.098
200503,제주-청주,계,AAR 아시아나항공,233,25241,368.333
200503,제주-청주,계,HAN 한성항공,,,
200503,제주-청주,계,KAL 대한항공,246,31788,734.663
200503,제주-청주,도착,AAR 아시아나항공,116,12372,128.707
200503,제주-청주,도착,HAN 한성항공,,,
200503,제주-청주,도착,KAL 대한항공,123,15640,260.444
200503,제주-청주,출발,AAR 아시아나항공,117,12869,239.626
200503,제주-청주,출발,HAN 한성항공,,,
200503,제주-청주,출발,KAL 대한항공,123,16148,474.219
200503,제주-포항,계,AAR 아시아나항공,14,1133,12.657
200503,제주-포항,도착,AAR 아시아나항공,7,574,5.075
200503,제주-포항,출발,AAR 아시아나항공,7,559,7.582
200503,합계,계,계,10954,1312866,36742.088
200503,합계,도착,계,5478,655719,23524.724
200503,합계,출발,계,5476,657147,13217.364
200504,김포-광주,계,AAR 아시아나항공,296,36824,367.068
200504,김포-광주,계,KAL 대한항공,281,32635,173.297
200504,김포-광주,도착,AAR 아시아나항공,148,18604,204.742
200504,김포-광주,도착,KAL 대한항공,140,15854,83.359
200504,김포-광주,출발,AAR 아시아나항공,148,18220,162.326
