"visit_date","category","gender","counts","sales"
202006,별식/퓨전요리,남성,67666,1755248286
202006,별식/퓨전요리,여성,49175,1347047391
202006,부페,남성,18315,692773376
202006,부페,여성,13046,583097052
202006,분식,남성,444539,8067680218
202006,분식,여성,408699,6803623860
202006,양식,남성,147061,5966891233
202006,양식,여성,143020,5108692791
202006,유흥주점,남성,90337,18064506686
202006,유흥주점,여성,37916,3788409494
202006,일식/수산물,남성,358924,23166603743
202006,일식/수산물,여성,278834,16383583583
202006,제과/제빵/떡/케익,남성,328673,4799958021
202006,제과/제빵/떡/케익,여성,438565,6521205302
202006,중식,남성,208495,5341280055
202006,중식,여성,120721,3025245721
202006,커피/음료,남성,847771,10718628823
202006,커피/음료,여성,997748,12662891987
202006,패스트푸드,남성,340392,4455433466
202006,패스트푸드,여성,311522,3890783675
202006,한식,남성,1534350,60159956236
202006,한식,여성,1052757,38808936137
202007,간이주점,남성,200219,9709530857
202007,간이주점,여성,122719,4648389706
202007,고기요리,남성,271837,17387023894
202007,고기요리,여성,181693,10921618016
202007,닭/오리요리,남성,295385,8628439893
202007,닭/오리요리,여성,227909,6131174025
202007,별식/퓨전요리,남성,68699,1749882216
202007,별식/퓨전요리,여성,53078,1440271953
202007,부페,남성,18548,859283084
202007,부페,여성,10483,436809343
202007,분식,남성,469968,8647432484
202007,분식,여성,450460,7638187721
202007,양식,남성,162999,6684582191
202007,양식,여성,167243,5854763018
202007,유흥주점,남성,96208,19096444983
202007,유흥주점,여성,38261,3456426019
202007,일식/수산물,남성,391396,26058581043
202007,일식/수산물,여성,313130,18512485059
202007,제과/제빵/떡/케익,남성,354542,5313560335
202007,제과/제빵/떡/케익,여성,485384,7369602919
202007,중식,남성,215891,5811214192
202007,중식,여성,135537,3577653210
202007,커피/음료,남성,934988,12261493174
202007,커피/음료,여성,1118326,14658928823
202007,패스트푸드,남성,352705,4649551909
202007,패스트푸드,여성,330775,4096293776
202007,한식,남성,1666670,68240874773
202007,한식,여성,1176017,43867141155
202008,간이주점,남성,207086,9865766024
202008,간이주점,여성,130350,4889568358
202008,고기요리,남성,312198,20599172273
202008,고기요리,여성,207515,12795445925
202008,닭/오리요리,남성,331449,9602322621
202008,닭/오리요리,여성,258048,6935668674
202008,별식/퓨전요리,남성,67225,1813312190
202008,별식/퓨전요리,여성,51541,1406438104
202008,부페,남성,19886,809429590
202008,부페,여성,11621,580491652
202008,분식,남성,562652,10827984388
202008,분식,여성,499021,8927144609
202008,양식,남성,192666,8230197514
202008,양식,여성,188147,7067965980
202008,유흥주점,남성,92075,17460336395
202008,유흥주점,여성,40249,3723772211
202008,일식/수산물,남성,463773,31104590255
202008,일식/수산물,여성,351088,21161047103
202008,제과/제빵/떡/케익,남성,398429,6202695537
202008,제과/제빵/떡/케익,여성,531116,8200324287
202008,중식,남성,237968,6609810869
202008,중식,여성,153534,4263750438
202008,커피/음료,남성,1135731,15807219712
202008,커피/음료,여성,1294010,17575197967
202008,패스트푸드,남성,410209,5558429388
202008,패스트푸드,여성,368843,4972512936
202008,한식,남성,1944660,81939758799
202008,한식,여성,1355705,53075739213
202009,간이주점,남성,166958,8167497128
202009,간이주점,여성,99619,3773126667
202009,고기요리,남성,250683,15292022135
202009,고기요리,여성,160487,9001447844
202009,닭/오리요리,남성,267504,7282161269
202009,닭/오리요리,여성,205549,5263015218
202009,별식/퓨전요리,남성,63375,1586502822
202009,별식/퓨전요리,여성,50562,1338860823
202009,부페,남성,11505,415629281
202009,부페,여성,7586,311628747
202009,분식,남성,429123,7534484904
202009,분식,여성,401094,6469690103
202009,양식,남성,143005,5916919489
202009,양식,여성,138119,4970990282
202009,유흥주점,남성,77594,15587165910
202009,유흥주점,여성,32980,3133681218
202009,일식/수산물,남성,334507,21757213382
202009,일식/수산물,여성,263074,16032385711
202009,제과/제빵/떡/케익,남성,367344,5997424225
202009,제과/제빵/떡/케익,여성,516932,8159777573
202009,중식,남성,210283,5443316325
202009,중식,여성,125967,3278829064
202009,커피/음료,남성,801439,10129875865
202009,커피/음료,여성,918781,11439409040
202009,패스트푸드,남성,340063,4413475846
202009,패스트푸드,여성,308477,3928779894
202009,한식,남성,1514039,58258987794
202009,한식,여성,1040795,36593443913
202010,간이주점,남성,204886,9722433746
202010,간이주점,여성,128746,4779550314
202010,고기요리,남성,290774,18901261008
202010,고기요리,여성,192222,11703920793
202010,닭/오리요리,남성,276668,7744914059
202010,닭/오리요리,여성,210669,5529762586
202010,별식/퓨전요리,남성,69713,1793300200
202010,별식/퓨전요리,여성,55585,1518386263
202010,부페,남성,13874,547971440
202010,부페,여성,8562,404688637
202010,분식,남성,483365,8805001694
202010,분식,여성,467376,7945915963
202010,양식,남성,165448,6727855450
202010,양식,여성,168285,6239956984
202010,유흥주점,남성,88095,16649560797
202010,유흥주점,여성,41839,3493178080
202010,일식/수산물,남성,408835,28164685401
202010,일식/수산물,여성,336243,20788120131
202010,제과/제빵/떡/케익,남성,381331,5894381816
202010,제과/제빵/떡/케익,여성,535942,8182400711
202010,중식,남성,228872,6134438425
202010,중식,여성,145299,3806720955
202010,커피/음료,남성,944882,12705104071
202010,커피/음료,여성,1131903,15231134879
202010,패스트푸드,남성,347715,4589293135
202010,패스트푸드,여성,328036,4200685898
202010,한식,남성,1756101,72442484375
202010,한식,여성,1275488,47924718774
202011,간이주점,남성,193487,9131724794
202011,간이주점,여성,123620,4688080692
202011,고기요리,남성,288659,19533335924
202011,고기요리,여성,197945,12202401940
202011,닭/오리요리,남성,273554,7674172521
202011,닭/오리요리,여성,216347,5582724301
202011,별식/퓨전요리,남성,70940,1839614924
202011,별식/퓨전요리,여성,59908,1734739102
202011,부페,남성,15486,976992299
202011,부페,여성,9501,464502866
202011,분식,남성,467565,8629395894
