index,visit_date,visit_date_num,visitor_local,local_corona,gender_label,category_label
236,202309,202309_13,931152,0.0,0,6
237,202309,202309_14,931152,0.0,1,6
238,202309,202309_15,931152,0.0,0,7
239,202309,202309_16,931152,0.0,1,7
240,202309,202309_17,931152,0.0,0,8
241,202309,202309_18,931152,0.0,1,8
242,202309,202309_19,931152,0.0,0,9
243,202309,202309_20,931152,0.0,1,9
244,202309,202309_21,931152,0.0,0,10
245,202309,202309_22,931152,0.0,1,10
246,202309,202309_23,931152,0.0,0,11
247,202309,202309_24,931152,0.0,1,11
248,202309,202309_25,931152,0.0,0,12
249,202309,202309_26,931152,0.0,1,12
250,202309,202309_27,931152,0.0,0,13
251,202309,202309_28,931152,0.0,1,13
252,202310,202310_1,1168319,0.0,0,0
253,202310,202310_2,1168319,0.0,1,0
254,202310,202310_3,1168319,0.0,0,1
255,202310,202310_4,1168319,0.0,1,1
256,202310,202310_5,1168319,0.0,0,2
257,202310,202310_6,1168319,0.0,1,2
258,202310,202310_7,1168319,0.0,0,3
259,202310,202310_8,1168319,0.0,1,3
260,202310,202310_9,1168319,0.0,0,4
261,202310,202310_10,1168319,0.0,1,4
262,202310,202310_11,1168319,0.0,0,5
263,202310,202310_12,1168319,0.0,1,5
264,202310,202310_13,1168319,0.0,0,6
265,202310,202310_14,1168319,0.0,1,6
266,202310,202310_15,1168319,0.0,0,7
267,202310,202310_16,1168319,0.0,1,7
268,202310,202310_17,1168319,0.0,0,8
269,202310,202310_18,1168319,0.0,1,8
270,202310,202310_19,1168319,0.0,0,9
271,202310,202310_20,1168319,0.0,1,9
272,202310,202310_21,1168319,0.0,0,10
273,202310,202310_22,1168319,0.0,1,10
274,202310,202310_23,1168319,0.0,0,11
275,202310,202310_24,1168319,0.0,1,11
276,202310,202310_25,1168319,0.0,0,12
277,202310,202310_26,1168319,0.0,1,12
278,202310,202310_27,1168319,0.0,0,13
279,202310,202310_28,1168319,0.0,1,13
280,202311,202311_1,1138054,0.0,0,0
281,202311,202311_2,1138054,0.0,1,0
282,202311,202311_3,1138054,0.0,0,1
283,202311,202311_4,1138054,0.0,1,1
284,202311,202311_5,1138054,0.0,0,2
285,202311,202311_6,1138054,0.0,1,2
286,202311,202311_7,1138054,0.0,0,3
287,202311,202311_8,1138054,0.0,1,3
288,202311,202311_9,1138054,0.0,0,4
289,202311,202311_10,1138054,0.0,1,4
290,202311,202311_11,1138054,0.0,0,5
291,202311,202311_12,1138054,0.0,1,5
292,202311,202311_13,1138054,0.0,0,6
293,202311,202311_14,1138054,0.0,1,6
294,202311,202311_15,1138054,0.0,0,7
295,202311,202311_16,1138054,0.0,1,7
296,202311,202311_17,1138054,0.0,0,8
297,202311,202311_18,1138054,0.0,1,8
298,202311,202311_19,1138054,0.0,0,9
299,202311,202311_20,1138054,0.0,1,9
300,202311,202311_21,1138054,0.0,0,10
301,202311,202311_22,1138054,0.0,1,10
302,202311,202311_23,1138054,0.0,0,11
303,202311,202311_24,1138054,0.0,1,11
304,202311,202311_25,1138054,0.0,0,12
305,202311,202311_26,1138054,0.0,1,12
306,202311,202311_27,1138054,0.0,0,13
307,202311,202311_28,1138054,0.0,1,13
308,202312,202312_1,957579,0.0,0,0
309,202312,202312_2,957579,0.0,1,0
310,202312,202312_3,957579,0.0,0,1
311,202312,202312_4,957579,0.0,1,1
312,202312,202312_5,957579,0.0,0,2
313,202312,202312_6,957579,0.0,1,2
314,202312,202312_7,957579,0.0,0,3
315,202312,202312_8,957579,0.0,1,3
316,202312,202312_9,957579,0.0,0,4
317,202312,202312_10,957579,0.0,1,4
318,202312,202312_11,957579,0.0,0,5
319,202312,202312_12,957579,0.0,1,5
320,202312,202312_13,957579,0.0,0,6
321,202312,202312_14,957579,0.0,1,6
322,202312,202312_15,957579,0.0,0,7
323,202312,202312_16,957579,0.0,1,7
324,202312,202312_17,957579,0.0,0,8
325,202312,202312_18,957579,0.0,1,8
326,202312,202312_19,957579,0.0,0,9
327,202312,202312_20,957579,0.0,1,9
328,202312,202312_21,957579,0.0,0,10
329,202312,202312_22,957579,0.0,1,10
330,202312,202312_23,957579,0.0,0,11
331,202312,202312_24,957579,0.0,1,11
332,202312,202312_25,957579,0.0,0,12
333,202312,202312_26,957579,0.0,1,12
334,202312,202312_27,957579,0.0,0,13
335,202312,202312_28,957579,0.0,1,13
